128,571.39,52368,86.52,39891.53758
128,576.71,52971,85.22,39890.53356
128,560.68,55236,100.2,87072.8802
64,344.72,35886,100.2,88748.94834
1024,409.24,34650,21.43,10918.33046
128,566.5,55395,100.2,88560.16925
256,319.12,27326,31.37,10000
256,866.55,81039,100.1,65205.88675
512,1070,93101,71.75,50141.56627
256,876.26,82699,99.95,66797.2044
1024,964.53,81827,42.53,29122.43259
256,668.27,60134,70.87,37224.0677
512,1810,155695,97,79962.94703
128,428.38,38177,64.33,20010.04016
64,363.63,38619,100.18,73620.57277
512,1520,131316,91.65,69936.11589
512,1780,152783,97.47,80257.45841
64,404.32,36407,88.12,26867.76152
64,404.72,40423,98.78,37801.70205
1024,418.72,35440,21.33,18752.00803
128,582.56,53159,85.15,39995.95525
64,347.25,29974,71.27,10040.76305
1024,2940,249180,97.67,90105.25305
64,423.51,39897,95.93,29613.38688
64,311.01,27030,71.88,10040.76305
128,549.6,54615,100.18,75878.33224
512,706.58,60962,48.03,30018.57908
64,405.91,40025,99.92,41910.91509
256,679.74,60821,71.75,39577.91165
128,549.91,55569,100.2,97272.10306
128,408.74,36403,60.27,20014.05622
256,443,39022,45.82,20000
512,1670,144245,100.17,96230.55556
128,591.39,53768,86.4,42260.81469
64,359.44,37893,100.2,66403.27581
256,546.25,48769,58.03,30000
128,539.81,53060,100.2,76018.32635
1024,996.92,84600,43.15,29716.83878
256,319.27,27389,31.9,10000
64,407.64,38935,95.95,34262.34462
256,835.74,75761,100.62,91213.92496
256,982.06,89594,100.13,80373.05543
256,426.57,37467,44.27,19824.29719
128,346.07,29742,47.98,10000
64,365.73,38649,100.22,79812.83576
256,936.89,86439,100.22,96895.6297
512,737.48,63285,46.73,29887.11991
512,527.83,45530,37.68,20000
512,1570,136225,100.2,95394.58788
512,1810,155313,97.03,79962.94703
512,694.83,59787,46.9,28045.18072
64,366.16,37784,100.2,85014.99678
1024,421.65,35712,21.83,19227.91165
64,375.23,38924,100.15,75228.57143
512,906.36,78560,60.73,40012.04819
256,759.28,69552,100.08,59977.47179
1024,1870,159149,76.65,60047.01664
128,552.57,54579,100.22,80584.20218
64,386.58,34701,85.62,19770.59667
64,368.89,37506,100.17,86704.50898
1024,424.09,35920,21.92,19227.91165
64,308.96,26810,70.25,10040.76305
256,942.79,87765,100.2,96053.59055
128,552.81,53099,100.18,74052.91115
512,1790,154161,97.27,80161.07286
128,319.04,27497,45.89,10000
64,376.4,39790,100.15,67490.91605
64,369.33,38676,100.17,82059.02227
64,346.96,29966,72.35,10075.90361
512,1350,116413,80.65,58838.37297
1024,2510,213229,100,94122.06836
128,569.81,53812,99.4,57042.7663
512,1090,94094,71.5,50213.85542
128,347.05,29842,48.11,10000
64,375.98,37712,98.62,35566.4324
1024,1320,111548,53.41,40048.19277
64,375.68,38310,100.18,83375.26821
128,570.09,55269,100.18,82582.02246
256,815.01,73759,81.1,50002.00803
64,369.82,39039,100.2,75533.64998
1024,2860,242699,98.3,90848.57873
512,1750,149549,100.22,98002.04628
1024,977.52,82980,43.33,29851.37694
256,937.93,88089,100.22,99004.6037
1024,1240,105102,53.18,40000
128,569.02,55511,100.22,94047.0049
256,961.19,88092,100.2,96610.94856
512,896.73,77463,59.7,39987.95181
512,1370,119841,100.2,96131.20099
128,487,44087,72.38,29979.74756
256,685.02,61503,71.45,40019.21017
512,1770,152477,98.23,81342.19736
1024,2720,231082,100.3,99623.92427
64,376.92,38818,100.18,79580.67986
128,608.72,58035,99.45,58527.95468
64,389.19,35239,84.97,20155.88067
128,565.66,55685,100.2,97355.1922
128,585.29,56205,99.98,60468.55039
128,633.29,59197,95.35,49657.02811
512,1720,148100,96.55,80243.66992
